Transaction_ID,Sender_ID,Receiver_ID,Amount,Timestamp,Location,Merchant_Type,Status
a398f7a6-643,karan_5308@oksbi,amazon.pay@axl,2381.11,2024-01-01 00:15:43,Chennai,shopping,success
bc8e4829-911,neha_4317@axl,healthapp.pay@icici,628.74,2024-01-01 01:30:19,Delhi,health,success
125e7264-338,aditya_6805@axl,bookmyshow.pay@axl,1522.94,2024-01-01 01:42:23,Lucknow,entertainment,success
2c497ba1-418,karan_1785@axl,books.pay@okhdfc,1276.85,2024-01-01 01:46:45,Chennai,education,success
4db505bf-fb5,rahul_9251@icici,uber.pay@axl,211.08,2024-01-01 01:56:43,Kolkata,transport,success
47d5963c-f7b,amit_9286@ibl,foodcourt.pay@ybl,226.55,2024-01-01 02:30:20,Lucknow,food,success
ea0ff1f4-874,dev_8365@oksbi,books.pay@oksbi,1204.26,2024-01-01 03:10:27,Chennai,education,success
7f50d05e-1da,rahul_3094@ybl,rohan_7839@oksbi,302.79,2024-01-01 03:15:38,Delhi,p2p,success
ec0aab65-c35,aditya_8402@oksbi,simran_9197@paytm,532.17,2024-01-01 03:20:49,Chennai,p2p,success
9b5ab15e-587,pooja_487@ybl,simran_7214@axl,1861.99,2024-01-01 03:29:21,Chennai,p2p,success
d60eb58f-b98,priya_6516@okhdfc,ananya_418@okhdfc,1087.06,2024-01-01 03:40:12,Delhi,p2p,success
79f7ba35-562,pooja_2312@okhdfc,pooja_4623@axl,10.0,2024-01-01 03:40:40,Chennai,p2p,success
d7954c48-3e2,sneha_6446@axl,karan_9032@ibl,409.09,2024-01-01 04:09:53,Jaipur,p2p,success
07551333-885,arjun_2546@oksbi,gaming.pay@oksbi,1551.78,2024-01-01 04:12:44,Ahmedabad,entertainment,success
071e92d5-1d6,simran_9637@icici,gas.pay@paytm,4091.85,2024-01-01 04:14:17,Hyderabad,bills,success
7b148283-b45,karan_1170@paytm,simran_4367@ibl,390.7,2024-01-01 04:15:39,Hyderabad,p2p,success
e89146a3-c13,aditya_4096@icici,tuition.pay@paytm,1863.28,2024-01-01 04:16:55,Pune,education,success
b866cc49-b9a,arjun_8899@axl,karan_1257@paytm,1694.09,2024-01-01 04:18:09,Kolkata,p2p,success
dc33a565-589,ananya_5649@paytm,rahul_6409@ibl,65.32,2024-01-01 04:19:28,Ahmedabad,p2p,success
375ec01f-4bb,priya_5248@axl,hospital.pay@ybl,1398.66,2024-01-01 04:20:38,Jaipur,health,success
663dc966-61d,vikram_8245@ybl,swiggy.pay@okhdfc,442.63,2024-01-01 04:30:32,Pune,food,success
1f97073b-02a,vikram_979@paytm,school.pay@paytm,1118.77,2024-01-01 04:31:37,Jaipur,education,success
NIGHT_2,pooja_7344@paytm,neha_1876@ibl,19103.99,2024-01-01 04:33:45,Pune,p2p,success
a008f958-967,isha_7423@axl,amazon.pay@axl,6726.57,2024-01-01 04:41:29,Chennai,shopping,success
0e008bd4-47d,sneha_8257@oksbi,hospital.pay@icici,1578.27,2024-01-01 04:41:37,Ahmedabad,health,success
429a1bd7-8c0,simran_3442@okhdfc,hotstar.pay@ibl,1065.82,2024-01-01 04:48:00,Delhi,entertainment,success
18e88633-05a,sneha_9063@icici,school.pay@paytm,673.24,2024-01-01 04:51:21,Bangalore,education,success
f3f98ce5-dd9,karan_660@oksbi,spotify.pay@okhdfc,205.57,2024-01-01 04:52:03,Jaipur,entertainment,success
ff13f3fb-0f6,aditya_6807@ibl,hotstar.pay@ibl,1838.47,2024-01-01 04:53:22,Ahmedabad,entertainment,success
433c3cfb-346,rohan_6475@ibl,neha_168@paytm,583.58,2024-01-01 04:57:00,Mumbai,p2p,success
b2da7dd2-2f2,karan_8814@ibl,simran_717@oksbi,877.06,2024-01-01 05:02:22,Lucknow,p2p,success
9ef491d2-ea9,dev_731@okhdfc,rahul_1148@icici,525.41,2024-01-01 05:05:19,Delhi,p2p,success
21497eb0-d3e,karan_7046@ibl,ananya_7218@okhdfc,880.39,2024-01-01 05:05:44,Ahmedabad,p2p,success
